epoch,accuracy,iou_score,loss,val_accuracy,val_iou_score,val_loss
0,0.8681875,0.08741595,0.8409434273129418,0.019244913,0.019287955,0.9621541976928711
1,0.9576282,0.15624046,0.7300118889127459,0.019244913,0.019287955,0.9621541976928711
2,0.9745897,0.23010385,0.6264317489805675,0.019244913,0.019287955,0.9621541976928711
3,0.98083866,0.30405214,0.5342833967435927,0.019244913,0.019287955,0.9621541976928711
4,0.98490876,0.38056156,0.44915410166695,0.05769819,0.018180335,0.9642910957336426
5,0.98697966,0.44102964,0.38807945592062815,0.9851628,0.21405904,0.6494981646537781
6,0.9876795,0.4749853,0.35620076883406865,0.98670715,0.24282554,0.6105864405632019
7,0.9882503,0.50503236,0.3289545802843003,0.98948747,0.46169615,0.368294358253479
8,0.988579,0.5219411,0.3142564325105576,0.9899537,0.5296569,0.307758092880249
9,0.98887545,0.5362227,0.3021022932870047,0.9894635,0.5410081,0.29815890789031985
10,0.98881805,0.54085076,0.2980711545263018,0.9899185,0.5647869,0.2784135818481445
11,0.9884744,0.5328069,0.30508364949907574,0.99069023,0.57616425,0.26905739307403564
12,0.98883474,0.5467322,0.2931600298200335,0.98954,0.5781894,0.26745076179504396
13,0.9889126,0.5511587,0.2894618511199951,0.9896144,0.5876056,0.259939968585968
14,0.98869413,0.54613245,0.2937187438919431,0.9899974,0.593496,0.2553757786750793
15,0.9890553,0.5572172,0.2845115718387422,0.9907174,0.61011916,0.24233427047729492
16,0.98909134,0.56086016,0.28142359143211726,0.9910772,0.6284545,0.22834913730621337
17,0.9890051,0.55911076,0.28293975194295246,0.99071044,0.61285704,0.24021440744400024
18,0.9890258,0.5604334,0.28192009528477985,0.991096,0.62552226,0.23054008483886718
19,0.9890933,0.56174994,0.28102044264475506,0.9907187,0.6266856,0.2296074867248535
20,0.98912203,0.56506836,0.2780111034711202,0.9915892,0.6309961,0.2264235019683838
21,0.9890571,0.56240034,0.28030761934462045,0.99146867,0.6380476,0.22111926078796387
22,0.9891283,0.5646481,0.27844394956316265,0.9908971,0.63234,0.2253664255142212
23,0.9889123,0.5605016,0.28190982625598,0.99066687,0.5831805,0.2634111285209656
24,0.98909163,0.5644926,0.2785007130532038,0.991327,0.63951004,0.22007023096084594
25,0.98924726,0.57081616,0.27338796854019165,0.99147993,0.6444515,0.21637675762176514
26,0.9892665,0.5714711,0.27290829306557063,0.99117553,0.63203824,0.22562687397003173
27,0.989222,0.5695478,0.2743412738754636,0.99174917,0.64638555,0.214943528175354
28,0.98925483,0.57153004,0.2727917376018706,0.9909568,0.640042,0.21966681480407715
29,0.9891606,0.5710994,0.2731197930517651,0.9914033,0.6488458,0.21316049098968506
30,0.98925984,0.57180834,0.2726175501233056,0.9912846,0.64596033,0.21525033712387084
31,0.9892604,0.57282996,0.2716790806679499,0.99156153,0.6497513,0.21252645254135133
32,0.989532,0.580435,0.26554520924886066,0.9916137,0.65129507,0.21138838529586793
33,0.98933774,0.57481295,0.27017256759461905,0.9917497,0.6489872,0.21303341388702393
34,0.9893232,0.5744599,0.2703786123366583,0.99147975,0.65009844,0.21221240758895873
35,0.9892321,0.5726613,0.27203933397928876,0.9919656,0.6457552,0.21546273231506347
36,0.9895198,0.5806637,0.26543800887607394,0.99165964,0.65593755,0.2079671025276184
37,0.98939747,0.5783011,0.26725372813996817,0.991738,0.65314025,0.21002835035324097
38,0.9894196,0.5776611,0.26786158482233685,0.9918198,0.6528018,0.21028097867965698
39,0.98943007,0.57822055,0.26738204274858746,0.9916606,0.65137845,0.21131887435913085
40,0.98937184,0.57651263,0.2687443466413589,0.99177647,0.6529444,0.2101365804672241
41,0.98945236,0.5789951,0.266783112571353,0.99142736,0.65311146,0.2100362777709961
42,0.98911154,0.56969196,0.27422855013892766,0.99179095,0.658939,0.20580145120620727
43,0.98952454,0.5822337,0.26414371388299124,0.99182975,0.6472046,0.2143758177757263
44,0.98941565,0.5781331,0.26745156447092694,0.9918382,0.6363944,0.2224128246307373
45,0.989282,0.5741727,0.2706800273486546,0.9918752,0.65855724,0.20607634782791137
46,0.9895737,0.58390266,0.26285040378570557,0.99182826,0.65861475,0.2060394763946533
47,0.98931515,0.5761308,0.2690415609450567,0.99147,0.654374,0.20910557508468627
48,0.9893466,0.576691,0.26865474099204656,0.9916587,0.6534978,0.20973776578903197
49,0.98934555,0.5782449,0.26734981650397893,0.9916619,0.6587064,0.2059616208076477
50,0.98939216,0.5792961,0.26650074266252066,0.9919028,0.6567222,0.20742355585098265
51,0.9895038,0.5806164,0.2654602697917393,0.99191886,0.6604101,0.20473262071609497
52,0.9894945,0.5807412,0.2653132166181292,0.9915434,0.6565097,0.20756702423095702
53,0.98942775,0.5811082,0.26505722602208454,0.9918015,0.6607502,0.20447314977645875
54,0.98954505,0.58289963,0.2636376789637974,0.99166983,0.66122717,0.20412665605545044
55,0.9894617,0.5818203,0.26453704493386404,0.9916668,0.6621848,0.20342791080474854
56,0.98966324,0.5868896,0.2603812302861895,0.991781,0.65608144,0.20787588357925416
57,0.9896591,0.58512527,0.2618228963443211,0.9918111,0.6632725,0.20264898538589476
58,0.98966986,0.58713543,0.2602745322954087,0.9918377,0.66380984,0.2022748589515686
59,0.9894132,0.5781674,0.2675617223694211,0.9900703,0.6313044,0.22621939182281495
60,0.98917496,0.5723766,0.27206206037884667,0.991126,0.6367055,0.22218083143234252
61,0.98946774,0.5803947,0.2656940250169663,0.99183184,0.6522168,0.2106653094291687
62,0.98963594,0.5865291,0.2608141303062439,0.99214303,0.6657002,0.2009127378463745
63,0.9896076,0.5858661,0.26120426825114657,0.99190134,0.66055286,0.2046647071838379
64,0.9895588,0.5837192,0.2630036075909932,0.9919729,0.6620303,0.20359137058258056
65,0.9896061,0.58635986,0.2608966344878787,0.9918682,0.6662132,0.2005372166633606
66,0.98949915,0.58319485,0.2633605542637053,0.99183017,0.65925324,0.20556044578552246
67,0.989626,0.58597136,0.26122235967999413,0.9918138,0.66425896,0.2019408941268921
68,0.9894617,0.58147174,0.26482616719745455,0.991856,0.66020155,0.20486266613006593
69,0.9895849,0.5835721,0.2630834295636132,0.9921138,0.66571456,0.20089857578277587
