,x,y,Set,Image,Point,Type
0,67,157,val,1,0,warped
1,90,157,val,1,1,warped
2,112,157,val,1,2,warped
3,135,157,val,1,3,warped
4,157,157,val,1,4,warped
5,67,134,val,1,5,warped
6,90,134,val,1,6,warped
7,112,134,val,1,7,warped
8,134,135,val,1,8,warped
9,157,135,val,1,9,warped
10,67,112,val,1,10,warped
11,90,112,val,1,11,warped
12,112,112,val,1,12,warped
13,134,112,val,1,13,warped
14,157,113,val,1,14,warped
15,67,90,val,1,15,warped
16,111,91,val,1,17,warped
17,134,90,val,1,18,warped
18,157,90,val,1,19,warped
19,89,67,val,1,21,warped
20,111,67,val,1,22,warped
21,134,67,val,1,23,warped
22,157,68,val,1,24,warped
23,66,157,val,2,0,warped
24,89,157,val,2,1,warped
25,112,158,val,2,2,warped
26,135,158,val,2,3,warped
27,157,158,val,2,4,warped
28,65,134,val,2,5,warped
29,111,135,val,2,7,warped
30,133,135,val,2,8,warped
31,156,134,val,2,9,warped
32,65,111,val,2,10,warped
33,89,112,val,2,11,warped
34,111,112,val,2,12,warped
35,133,112,val,2,13,warped
36,65,91,val,2,15,warped
37,89,91,val,2,16,warped
38,110,91,val,2,17,warped
39,133,90,val,2,18,warped
40,157,90,val,2,19,warped
41,65,68,val,2,20,warped
42,88,67,val,2,21,warped
43,111,67,val,2,22,warped
44,133,68,val,2,23,warped
45,156,68,val,2,24,warped
46,67,158,val,21,0,warped
47,90,157,val,21,1,warped
48,113,157,val,21,2,warped
49,135,157,val,21,3,warped
50,156,156,val,21,4,warped
51,67,134,val,21,5,warped
52,90,134,val,21,6,warped
53,113,133,val,21,7,warped
54,134,134,val,21,8,warped
55,157,135,val,21,9,warped
56,67,113,val,21,10,warped
57,90,112,val,21,11,warped
58,112,112,val,21,12,warped
59,134,112,val,21,13,warped
60,157,112,val,21,14,warped
61,67,90,val,21,15,warped
62,90,90,val,21,16,warped
63,112,90,val,21,17,warped
64,134,89,val,21,18,warped
65,67,68,val,21,20,warped
66,90,67,val,21,21,warped
67,111,67,val,21,22,warped
68,134,67,val,21,23,warped
69,158,67,val,21,24,warped
70,67,156,val,25,0,warped
71,90,157,val,25,1,warped
72,112,157,val,25,2,warped
73,134,157,val,25,3,warped
74,157,156,val,25,4,warped
75,67,133,val,25,5,warped
76,112,134,val,25,7,warped
77,157,132,val,25,9,warped
78,67,110,val,25,10,warped
79,90,112,val,25,11,warped
80,112,111,val,25,12,warped
81,134,111,val,25,13,warped
82,157,110,val,25,14,warped
83,66,88,val,25,15,warped
84,112,89,val,25,17,warped
85,134,89,val,25,18,warped
86,157,88,val,25,19,warped
87,67,66,val,25,20,warped
88,90,66,val,25,21,warped
89,112,66,val,25,22,warped
90,134,66,val,25,23,warped
91,157,66,val,25,24,warped
92,67,157,val,37,0,warped
93,90,157,val,37,1,warped
94,134,157,val,37,3,warped
95,67,134,val,37,5,warped
96,90,134,val,37,6,warped
97,157,137,val,37,9,warped
98,90,112,val,37,11,warped
99,112,112,val,37,12,warped
100,134,112,val,37,13,warped
101,157,119,val,37,14,warped
102,67,90,val,37,15,warped
103,90,90,val,37,16,warped
104,112,90,val,37,17,warped
105,134,90,val,37,18,warped
106,67,67,val,37,20,warped
107,90,67,val,37,21,warped
108,112,67,val,37,22,warped
109,135,67,val,37,23,warped
110,67,155,val,38,0,warped
111,90,157,val,38,1,warped
112,112,157,val,38,2,warped
113,134,157,val,38,3,warped
114,157,156,val,38,4,warped
115,67,134,val,38,5,warped
116,112,133,val,38,7,warped
117,134,134,val,38,8,warped
118,157,134,val,38,9,warped
119,67,111,val,38,10,warped
120,90,113,val,38,11,warped
121,112,112,val,38,12,warped
122,134,112,val,38,13,warped
123,157,112,val,38,14,warped
124,67,90,val,38,15,warped
125,90,90,val,38,16,warped
126,112,90,val,38,17,warped
127,134,90,val,38,18,warped
128,157,90,val,38,19,warped
129,67,67,val,38,20,warped
130,90,67,val,38,21,warped
