,x,y,Set,Image,Point
0,67,157,val,1,0
1,90,157,val,1,1
2,112,157,val,1,2
3,135,157,val,1,3
4,157,157,val,1,4
5,67,134,val,1,5
6,90,134,val,1,6
7,112,134,val,1,7
8,134,135,val,1,8
9,157,135,val,1,9
10,67,112,val,1,10
11,90,112,val,1,11
12,112,112,val,1,12
13,134,112,val,1,13
14,157,113,val,1,14
15,67,90,val,1,15
16,111,91,val,1,17
17,134,90,val,1,18
18,157,90,val,1,19
19,89,67,val,1,21
20,111,67,val,1,22
21,134,67,val,1,23
22,157,68,val,1,24
23,66,157,val,2,0
24,89,157,val,2,1
25,112,158,val,2,2
26,135,158,val,2,3
27,157,158,val,2,4
28,65,134,val,2,5
29,111,135,val,2,7
30,133,135,val,2,8
31,156,134,val,2,9
32,65,111,val,2,10
33,89,112,val,2,11
34,111,112,val,2,12
35,133,112,val,2,13
36,65,91,val,2,15
37,89,91,val,2,16
38,110,91,val,2,17
39,133,90,val,2,18
40,157,90,val,2,19
41,65,68,val,2,20
42,88,67,val,2,21
43,111,67,val,2,22
44,133,68,val,2,23
45,156,68,val,2,24
46,67,158,val,21,0
47,90,157,val,21,1
48,113,157,val,21,2
49,135,157,val,21,3
50,156,156,val,21,4
51,67,134,val,21,5
52,90,134,val,21,6
53,113,133,val,21,7
54,134,134,val,21,8
55,157,135,val,21,9
56,67,113,val,21,10
57,90,112,val,21,11
58,112,112,val,21,12
59,134,112,val,21,13
60,157,112,val,21,14
61,67,90,val,21,15
62,90,90,val,21,16
63,112,90,val,21,17
64,134,89,val,21,18
65,67,68,val,21,20
66,90,67,val,21,21
67,111,67,val,21,22
68,134,67,val,21,23
69,158,67,val,21,24
70,67,156,val,25,0
71,90,157,val,25,1
72,112,157,val,25,2
73,134,157,val,25,3
74,157,156,val,25,4
75,67,133,val,25,5
76,112,134,val,25,7
77,157,132,val,25,9
78,67,110,val,25,10
79,90,112,val,25,11
80,112,111,val,25,12
81,134,111,val,25,13
82,157,110,val,25,14
83,66,88,val,25,15
84,112,89,val,25,17
85,134,89,val,25,18
86,157,88,val,25,19
87,67,66,val,25,20
88,90,66,val,25,21
89,112,66,val,25,22
90,134,66,val,25,23
91,157,66,val,25,24
92,67,157,val,37,0
93,90,157,val,37,1
94,134,157,val,37,3
95,67,134,val,37,5
96,90,134,val,37,6
97,157,137,val,37,9
98,90,112,val,37,11
99,112,112,val,37,12
100,134,112,val,37,13
101,157,119,val,37,14
102,67,90,val,37,15
103,90,90,val,37,16
104,112,90,val,37,17
105,134,90,val,37,18
106,67,67,val,37,20
107,90,67,val,37,21
108,112,67,val,37,22
109,135,67,val,37,23
110,67,155,val,38,0
111,90,157,val,38,1
112,112,157,val,38,2
113,134,157,val,38,3
114,157,156,val,38,4
115,67,134,val,38,5
116,112,133,val,38,7
117,134,134,val,38,8
118,157,134,val,38,9
119,67,111,val,38,10
120,90,113,val,38,11
121,112,112,val,38,12
122,134,112,val,38,13
123,157,112,val,38,14
124,67,90,val,38,15
125,90,90,val,38,16
126,112,90,val,38,17
127,134,90,val,38,18
128,157,90,val,38,19
129,67,67,val,38,20
130,90,67,val,38,21
131,112,67,val,38,22
132,134,68,val,38,23
133,157,67,val,38,24
134,67,157,val,45,0
135,90,157,val,45,1
136,112,157,val,45,2
137,134,157,val,45,3
138,157,157,val,45,4
139,67,133,val,45,5
140,112,134,val,45,7
141,134,134,val,45,8
142,157,133,val,45,9
143,67,111,val,45,10
144,90,112,val,45,11
145,112,112,val,45,12
146,134,112,val,45,13
147,157,112,val,45,14
148,67,90,val,45,15
149,90,90,val,45,16
150,112,90,val,45,17
151,134,90,val,45,18
152,157,90,val,45,19
153,67,67,val,45,20
154,90,67,val,45,21
155,112,67,val,45,22
156,134,67,val,45,23
157,157,66,val,45,24
158,67,139,val,50,0
159,88,158,val,50,1
160,110,158,val,50,2
161,130,157,val,50,3
162,66,136,val,50,5
163,89,134,val,50,6
164,111,134,val,50,7
165,133,135,val,50,8
166,156,134,val,50,9
167,66,113,val,50,10
168,88,112,val,50,11
169,110,113,val,50,12
170,132,112,val,50,13
171,155,114,val,50,14
172,66,90,val,50,15
173,88,90,val,50,16
174,110,90,val,50,17
175,132,90,val,50,18
176,155,90,val,50,19
177,66,68,val,50,20
178,87,67,val,50,21
179,109,67,val,50,22
180,132,67,val,50,23
181,155,67,val,50,24
182,67,157,val,59,0
183,90,157,val,59,1
184,112,157,val,59,2
185,134,157,val,59,3
186,157,157,val,59,4
187,67,134,val,59,5
188,90,134,val,59,6
189,112,134,val,59,7
190,134,134,val,59,8
191,157,134,val,59,9
192,67,112,val,59,10
193,90,112,val,59,11
194,112,112,val,59,12
195,134,112,val,59,13
196,157,111,val,59,14
197,67,90,val,59,15
198,90,90,val,59,16
199,112,90,val,59,17
200,134,90,val,59,18
201,157,89,val,59,19
202,67,66,val,59,20
203,90,66,val,59,21
204,112,67,val,59,22
