,MIN,Set,Image
0,0.04155431687831879,val,1
1,0.03250850364565849,val,2
2,0.05914222449064255,val,21
3,0.04292815178632736,val,25
4,0.02348092943429947,val,37
5,0.03562912717461586,val,38
6,0.02757415734231472,val,45
7,0.05361694097518921,val,50
8,0.12056747823953629,val,59
9,0.034687019884586334,val,67
10,0.3388538062572479,val,72
11,0.036323558539152145,val,77
12,0.035177964717149734,val,93
13,0.29377779364585876,val,105
14,0.32440185546875,val,108
15,0.40067538619041443,val,114
16,0.3973763585090637,val,116
17,0.03211773931980133,val,124
18,0.06136542558670044,val,133
19,0.04292683303356171,val,152
20,0.028046753257513046,val,161
21,0.03089662827551365,val,176
22,0.26770418882369995,val,197
23,0.037012409418821335,val,200
24,0.030983349308371544,val,204
25,0.43418335914611816,val,211
26,0.11589857935905457,val,217
27,0.08450128138065338,val,225
28,0.02676132321357727,val,227
29,0.28076171875,val,229
30,0.03787493705749512,val,231
31,0.0420675165951252,val,244
32,0.07123229652643204,val,264
33,0.4317418038845062,val,270
34,0.030481211841106415,val,300
35,0.049692120403051376,val,307
36,0.03248908370733261,val,316
37,0.037246931344270706,val,338
38,0.03401933237910271,val,352
39,0.02466771937906742,val,362
40,0.0397433340549469,val,369
41,0.04560329020023346,val,370
42,0.041369982063770294,val,372
43,0.054424628615379333,val,385
44,0.03997717797756195,val,388
45,0.1829565465450287,val,405
46,0.39038994908332825,val,416
47,0.034859515726566315,val,434
48,0.1520991325378418,val,435
49,0.056826669722795486,val,437
50,0.02838863432407379,val,441
51,0.6379825472831726,val,442
52,0.030593248084187508,val,443
53,0.027829185128211975,val,450
54,0.10612507909536362,val,452
55,0.24984601140022278,val,457
56,0.18249958753585815,val,480
57,0.5280270576477051,val,482
58,0.036685165017843246,val,490
59,0.09078280627727509,val,491
60,0.005517798475921154,val,496
61,0.03148338571190834,val,507
62,0.05246336758136749,val,508
63,0.33319801092147827,val,511
64,0.13908879458904266,val,521
65,0.03467533364892006,val,533
66,0.03179127350449562,val,539
67,0.5741280913352966,val,545
68,0.56517493724823,val,548
69,0.05657021328806877,val,563
70,0.14693021774291992,val,570
71,0.02855006232857704,val,571
72,0.5957494974136353,val,572
73,0.05073912814259529,val,573
74,0.0343298465013504,val,586
75,0.15650026500225067,val,591
76,0.03874974325299263,val,599
77,0.03558732196688652,val,604
78,0.23014505207538605,val,606
79,0.7402305006980896,val,608
80,0.03761237859725952,val,612
81,0.08854865282773972,val,615
82,0.04152597486972809,val,619
83,0.03532860800623894,val,628
84,0.06574196368455887,val,635
85,0.053610287606716156,val,639
86,0.04705513268709183,val,645
87,0.1805601269006729,val,652
88,0.008975813165307045,val,660
89,0.029224339872598648,val,665
90,0.17183715105056763,val,667
91,0.05676974356174469,val,680
92,0.026037657633423805,val,682
93,0.028485963121056557,val,691
94,0.056084342300891876,val,692
95,0.03913765028119087,val,703
96,0.8745278716087341,val,708
97,0.07546380907297134,val,735
98,0.029519004747271538,val,742
99,0.179277703166008,val,747
100,0.0376889705657959,val,749
101,0.04885343834757805,val,752
102,0.02657986432313919,val,753
103,0.03426927328109741,val,754
104,0.041265182197093964,val,764
105,0.027630768716335297,val,769
106,0.02728494256734848,val,773
107,0.047379784286022186,val,799
108,0.043584246188402176,val,800
109,0.4099811017513275,val,808
110,0.029379496350884438,val,815
111,0.02032187022268772,val,843
112,0.03721652179956436,val,848
113,0.2062738984823227,val,850
114,0.32955557107925415,val,857
115,0.08673882484436035,val,859
116,0.02428910881280899,val,866
117,0.036381810903549194,val,870
118,0.020143523812294006,val,882
119,0.01569809578359127,val,889
120,0.03007960319519043,val,892
121,0.031116457656025887,val,894
122,0.4809914827346802,val,895
123,0.18484817445278168,val,901
124,0.05563843995332718,val,911
125,0.06556344777345657,val,925
126,0.034834638237953186,val,926
127,0.8558212518692017,val,930
128,0.023668186739087105,val,933
129,0.10294055193662643,val,957
130,0.5490747690200806,val,972
131,0.09839293360710144,val,975
132,0.04202738031744957,val,977
133,0.03290397673845291,val,982
134,0.08623874932527542,val,984
135,0.02693157270550728,val,987
136,0.26021313667297363,val,994
137,0.04948419705033302,val,999
138,0.036299675703048706,val,1008
139,0.03762032091617584,val,1009
140,0.05173225700855255,val,1024
141,0.19580097496509552,val,1027
142,0.45571866631507874,val,1028
143,0.13643194735050201,val,1034
144,0.03522574156522751,val,1036
145,0.039275042712688446,val,1043
146,0.2463196963071823,val,1045
147,0.0333879217505455,val,1048
148,0.01899116300046444,val,1061
149,0.6383188962936401,val,1062
150,0.04118899255990982,val,1070
151,0.15664197504520416,val,1080
152,0.03898698836565018,val,1084
153,0.03284379839897156,val,1085
154,0.03361878916621208,val,1098
155,0.028931735083460808,val,1101
156,0.2764110863208771,val,1126
157,0.033007290214300156,val,1132
158,0.08273588120937347,val,1134
159,0.02956487238407135,val,1153
160,0.050240516662597656,val,1157
161,0.056521542370319366,val,1158
162,0.4427436590194702,val,1159
163,0.10079009085893631,val,1162
164,0.059780336916446686,val,1176
165,0.23848290741443634,val,1178
166,0.07356804609298706,val,1183
167,0.03873751685023308,val,1184
168,0.03391384705901146,val,1190
169,0.0400390550494194,val,1194
170,0.06301936507225037,val,1199
171,0.2432112693786621,val,1202
172,0.2664429247379303,val,1213
173,0.03937913104891777,val,1224
174,0.003288897452875972,val,1230
175,0.04643964767456055,val,1234
176,0.041395604610443115,val,1242
177,0.16900001466274261,val,1248
178,0.03186174854636192,val,1271
179,0.09978511184453964,val,1275
180,0.031604934483766556,val,1283
181,0.016133232042193413,val,1298
182,0.05450108274817467,val,1304
183,0.813573956489563,val,1314
184,0.1401609629392624,val,1315
185,0.07698085904121399,val,1322
186,0.03149024769663811,val,1323
187,0.03424711152911186,val,1329
188,0.028603795915842056,val,1347
189,0.3060912787914276,val,1348
190,0.03859473764896393,val,1354
191,0.03422344848513603,val,1382
192,0.03473354130983353,val,1396
193,0.02902655117213726,val,1402
194,0.03426605835556984,val,1412
195,0.035580407828092575,val,1414
196,0.06990912556648254,val,1419
197,0.3822211027145386,val,1420
198,0.028688127174973488,val,1422
199,0.21762150526046753,val,1426
200,0.8916467428207397,val,1441
201,0.36651694774627686,val,1445
202,0.023596230894327164,val,1446
203,0.05204685404896736,val,1449
204,0.035381924360990524,val,1450
205,0.08317875117063522,val,1466
206,0.38849395513534546,val,1468
207,0.7117756605148315,val,1490
208,0.028978129848837852,val,1493
209,0.03441794216632843,val,1498
210,0.034217219799757004,val,1501
211,0.02889821119606495,val,1512
212,0.26382261514663696,val,1528
213,0.16629210114479065,val,1535
214,0.10966215282678604,val,1537
215,0.34618791937828064,val,1542
216,0.03452742472290993,val,1545
217,0.03480767458677292,val,1546
218,0.048420824110507965,val,1550
219,0.45115402340888977,val,1554
220,0.030317537486553192,val,1556
221,0.03490443527698517,val,1558
222,0.1272812932729721,val,1560
223,0.03492065146565437,val,1562
224,0.10766912251710892,val,1574
225,0.033704716712236404,val,1585
226,0.030191002413630486,val,1587
227,0.12260034680366516,val,1599
228,0.11534612625837326,val,1600
229,0.03507538139820099,val,1612
230,0.16270355880260468,val,1621
231,0.4506586492061615,val,1622
232,0.03982951492071152,val,1626
233,0.08209200948476791,val,1633
234,0.4329417943954468,val,1637
235,0.6373223066329956,val,1640
236,0.034608662128448486,val,1647
237,0.33163297176361084,val,1648
238,0.02776098996400833,val,1651
239,0.15585415065288544,val,1652
240,0.03458172455430031,val,1661
241,0.027247952297329903,val,1665
242,0.0356559157371521,val,1670
243,0.5116623044013977,val,1694
244,0.04460570588707924,val,1697
245,0.04256685823202133,val,1699
246,0.009643401019275188,val,1715
247,0.03574361652135849,val,1722
248,0.08088839799165726,val,1730
249,0.03757042437791824,val,1738
250,0.0233437642455101,val,1743
251,0.028378870338201523,val,1748
252,0.03727918118238449,val,1749
253,0.10391467064619064,val,1757
254,0.025898830965161324,val,1758
255,0.04412075877189636,val,1762
256,0.13520130515098572,val,1764
257,0.0946219265460968,val,1776
258,0.5352974534034729,val,1777
259,0.032472554594278336,val,1778
260,0.488918662071228,val,1790
261,0.4516955614089966,val,1793
262,0.04034142941236496,val,1803
263,0.48694923520088196,val,1806
264,0.26528000831604004,val,1811
265,0.03287870064377785,val,1819
266,0.02892724983394146,val,1824
267,0.37242981791496277,val,1826
268,0.1185513585805893,val,1837
269,0.03084324486553669,val,1839
270,0.1581592857837677,val,1845
271,1.5829315185546875,val,1847
272,0.06534680724143982,val,1855
273,0.027121391147375107,val,1857
274,0.13567517697811127,val,1862
275,0.02166103757917881,val,1864
276,0.037646401673555374,val,1871
277,0.2540718913078308,val,1881
278,0.1727931648492813,val,1888
279,0.034146666526794434,val,1894
280,0.026985766366124153,val,1903
281,0.01909436658024788,val,1919
282,0.032493192702531815,val,1920
