,x,y,Set,Image,Point
0,86,330,val,12,2
1,103,331,val,12,3
2,119,330,val,12,4
3,136,331,val,12,5
4,152,332,val,12,6
5,169,330,val,12,7
6,186,331,val,12,8
7,201,330,val,12,9
8,235,330,val,12,11
9,250,329,val,12,12
10,266,329,val,12,13
11,282,329,val,12,14
12,297,327,val,12,15
13,313,329,val,12,16
14,328,327,val,12,17
15,70,314,val,12,19
16,103,314,val,12,21
17,119,315,val,12,22
18,136,313,val,12,23
19,152,314,val,12,24
20,169,313,val,12,25
21,186,315,val,12,26
22,201,316,val,12,27
23,217,317,val,12,28
24,234,315,val,12,29
25,250,313,val,12,30
26,265,313,val,12,31
27,282,312,val,12,32
28,312,310,val,12,34
29,328,310,val,12,35
30,54,298,val,12,36
31,70,297,val,12,37
32,87,299,val,12,38
33,104,298,val,12,39
34,119,297,val,12,40
35,135,298,val,12,41
36,152,298,val,12,42
37,168,299,val,12,43
38,185,299,val,12,44
39,201,299,val,12,45
40,218,301,val,12,46
41,234,300,val,12,47
42,250,297,val,12,48
43,267,296,val,12,49
44,282,296,val,12,50
45,298,296,val,12,51
46,312,295,val,12,52
47,53,281,val,12,54
48,70,282,val,12,55
49,87,282,val,12,56
50,102,282,val,12,57
51,118,281,val,12,58
52,135,281,val,12,59
53,152,280,val,12,60
54,169,283,val,12,61
55,185,283,val,12,62
56,202,286,val,12,63
57,219,286,val,12,64
58,235,285,val,12,65
59,250,283,val,12,66
60,267,281,val,12,67
61,282,281,val,12,68
62,298,280,val,12,69
63,313,279,val,12,70
64,329,279,val,12,71
65,54,266,val,12,72
66,71,265,val,12,73
67,86,266,val,12,74
68,102,265,val,12,75
69,119,264,val,12,76
70,136,265,val,12,77
71,152,265,val,12,78
72,169,267,val,12,79
73,186,266,val,12,80
74,201,268,val,12,81
75,218,269,val,12,82
76,235,267,val,12,83
77,251,267,val,12,84
78,266,266,val,12,85
79,282,265,val,12,86
80,298,265,val,12,87
81,313,264,val,12,88
82,329,262,val,12,89
83,54,249,val,12,90
84,70,249,val,12,91
85,86,249,val,12,92
86,102,249,val,12,93
87,119,249,val,12,94
88,136,249,val,12,95
89,152,250,val,12,96
90,169,250,val,12,97
91,185,251,val,12,98
92,202,252,val,12,99
93,235,253,val,12,101
94,252,251,val,12,102
95,267,250,val,12,103
96,283,250,val,12,104
97,298,249,val,12,105
98,314,248,val,12,106
99,329,246,val,12,107
100,53,233,val,12,108
101,70,232,val,12,109
102,86,232,val,12,110
103,103,232,val,12,111
104,118,233,val,12,112
105,135,233,val,12,113
106,151,233,val,12,114
107,168,234,val,12,115
108,185,236,val,12,116
109,201,235,val,12,117
110,235,237,val,12,119
111,252,235,val,12,120
112,268,235,val,12,121
113,283,234,val,12,122
114,298,232,val,12,123
115,313,232,val,12,124
116,330,230,val,12,125
117,53,217,val,12,126
118,70,216,val,12,127
119,86,215,val,12,128
120,102,216,val,12,129
121,118,217,val,12,130
122,134,217,val,12,131
123,151,217,val,12,132
124,168,220,val,12,133
125,185,218,val,12,134
126,201,217,val,12,135
127,235,218,val,12,137
128,252,218,val,12,138
129,268,219,val,12,139
130,283,218,val,12,140
131,298,216,val,12,141
132,314,215,val,12,142
133,329,215,val,12,143
134,53,201,val,12,144
135,70,200,val,12,145
136,85,200,val,12,146
137,102,200,val,12,147
138,118,201,val,12,148
139,135,201,val,12,149
140,152,202,val,12,150
141,168,202,val,12,151
142,185,201,val,12,152
143,202,204,val,12,153
144,234,202,val,12,155
145,251,202,val,12,156
146,268,202,val,12,157
147,283,201,val,12,158
148,299,200,val,12,159
149,314,199,val,12,160
150,329,199,val,12,161
151,53,185,val,12,162
152,70,186,val,12,163
