,Accuracy,Image,Set,Experiment
0,1.0,12,val,1
1,0.9936305732484076,15,val,1
2,1.0,22,val,1
3,1.0,38,val,1
4,1.0,40,val,1
5,1.0,41,val,1
6,1.0,50,val,1
7,1.0,61,val,1
8,1.0,67,val,1
9,1.0,76,val,1
10,1.0,78,val,1
11,1.0,82,val,1
12,1.0,89,val,1
13,1.0,91,val,1
14,1.0,93,val,1
15,1.0,95,val,1
16,1.0,97,val,1
17,1.0,103,val,1
18,1.0,107,val,1
19,1.0,112,val,1
20,1.0,133,val,1
21,1.0,137,val,1
22,1.0,168,val,1
23,1.0,181,val,1
24,0.9935897435897436,185,val,1
25,1.0,186,val,1
26,1.0,188,val,1
27,1.0,189,val,1
28,1.0,194,val,1
29,1.0,197,val,1
30,1.0,198,val,1
31,1.0,207,val,1
32,1.0,225,val,1
33,1.0,229,val,1
34,1.0,233,val,1
35,1.0,235,val,1
36,1.0,9,test,1
37,1.0,14,test,1
38,1.0,17,test,1
39,1.0,37,test,1
40,1.0,42,test,1
41,1.0,51,test,1
42,1.0,54,test,1
43,1.0,55,test,1
44,1.0,57,test,1
45,1.0,60,test,1
46,1.0,65,test,1
47,1.0,68,test,1
48,1.0,69,test,1
49,1.0,71,test,1
50,1.0,74,test,1
51,1.0,88,test,1
52,1.0,96,test,1
53,1.0,113,test,1
54,0.9905956112852664,119,test,1
55,1.0,120,test,1
56,1.0,129,test,1
57,1.0,130,test,1
58,1.0,145,test,1
59,0.9929824561403509,156,test,1
60,0.934931506849315,159,test,1
61,1.0,163,test,1
62,1.0,174,test,1
63,1.0,177,test,1
64,0.9294871794871795,180,test,1
65,1.0,193,test,1
66,1.0,206,test,1
67,1.0,208,test,1
68,1.0,211,test,1
69,1.0,218,test,1
70,1.0,228,test,1
71,1.0,237,test,1
72,0.4524590163934426,12,val,2
73,0.4745222929936306,15,val,2
74,0.47333333333333333,22,val,2
75,0.5907590759075908,38,val,2
76,0.5230263157894737,40,val,2
77,0.5131578947368421,41,val,2
78,0.5643564356435643,50,val,2
79,0.46938775510204084,61,val,2
80,0.4778156996587031,67,val,2
81,0.5187713310580204,76,val,2
82,0.49146757679180886,78,val,2
83,0.5149501661129569,82,val,2
84,0.5179153094462541,89,val,2
85,0.5419354838709678,91,val,2
86,0.5337620578778135,93,val,2
87,0.5627009646302251,95,val,2
88,0.5193548387096775,97,val,2
89,0.44200626959247646,103,val,2
90,0.45141065830721006,107,val,2
91,0.43573667711598746,112,val,2
92,0.7475728155339806,133,val,2
93,0.7532467532467533,137,val,2
94,0.6433566433566433,168,val,2
95,0.5480769230769231,181,val,2
96,0.532051282051282,185,val,2
97,0.46794871794871795,186,val,2
98,0.5064102564102564,188,val,2
99,0.46794871794871795,189,val,2
100,0.5192307692307693,194,val,2
101,0.483974358974359,197,val,2
102,0.4519230769230769,198,val,2
103,0.6050955414012739,207,val,2
104,0.5884244372990354,225,val,2
105,0.6302250803858521,229,val,2
106,0.6495176848874598,233,val,2
107,0.6366559485530546,235,val,2
108,0.4786885245901639,9,test,2
109,0.5256410256410257,14,test,2
110,0.5,17,test,2
111,0.5841584158415841,37,test,2
112,0.5328947368421053,42,test,2
113,0.5529801324503312,51,test,2
114,0.5448504983388704,54,test,2
115,0.5647840531561462,55,test,2
116,0.5548172757475083,57,test,2
117,0.5170068027210885,60,test,2
118,0.49146757679180886,65,test,2
119,0.4880546075085324,68,test,2
120,0.515358361774744,69,test,2
121,0.5085324232081911,71,test,2
122,0.4778156996587031,74,test,2
123,0.5374592833876222,88,test,2
124,0.5372168284789643,96,test,2
125,0.44200626959247646,113,test,2
126,0.45454545454545453,119,test,2
127,0.8090614886731392,120,test,2
128,0.7184466019417476,129,test,2
129,0.7184466019417476,130,test,2
130,0.5972696245733788,145,test,2
131,0.5719298245614035,156,test,2
132,0.5068493150684932,159,test,2
133,0.5874125874125874,163,test,2
134,0.6197183098591549,174,test,2
135,0.573943661971831,177,test,2
136,0.41346153846153844,180,test,2
137,0.5288461538461539,193,test,2
138,0.6496815286624203,206,test,2
139,0.5764331210191083,208,test,2
140,0.6337579617834395,211,test,2
141,0.643312101910828,218,test,2
142,0.5852090032154341,228,test,2
143,0.6237942122186495,237,test,2
144,0.8931034482758621,10014,val,3
145,1.0,10022,val,3
146,0.9444444444444444,10023,val,3
147,0.9879032258064516,10036,val,3
148,0.6180124223602484,10037,val,3
149,0.9962962962962963,10046,val,3
150,1.0,10051,val,3
151,0.9660377358490566,10056,val,3
152,0.9862542955326461,10060,val,3
153,0.9261744966442953,10062,val,3
154,1.0,10069,val,3
155,0.9722222222222222,10079,val,3
156,0.9166666666666666,10082,val,3
157,0.9724409448818898,10083,val,3
158,1.0,10087,val,3
159,1.0,10117,val,3
160,1.0,10124,val,3
161,0.9328358208955224,10126,val,3
162,1.0,10129,val,3
163,0.952054794520548,10133,val,3
164,0.9603960396039604,10134,val,3
165,0.6032388663967612,10139,val,3
166,0.9012345679012346,10147,val,3
167,0.9629629629629629,10148,val,3
168,1.0,10158,val,3
169,0.8950617283950617,10168,val,3
170,0.9819494584837545,10184,val,3
171,0.9722222222222222,10189,val,3
172,0.9938271604938271,10209,val,3
173,1.0,10212,val,3
174,1.0,10232,val,3
175,0.7978339350180506,10238,val,3
176,0.6944444444444444,10242,val,3
177,0.8326848249027238,10248,val,3
178,0.8518518518518519,10255,val,3
