Dataset,Frame,Correct,Not,Wrong,Sensitivity,Specificity,Accuracy,Style
5,0,0.98299319727891155,0.017006802721088437,0,0.95918367346938771,0.76666666666666672,0.77854671280276821, Deep Learning
5,1,0.98644067796610169,0.010169491525423728,0.0033898305084745762,0.96598639455782309,0.73333333333333328,0.80756013745704469, Deep Learning
5,2,0.98639455782312924,0.013605442176870748,0,0.96598639455782309,0.80000000000000004,0.8172413793103448, Deep Learning
5,3,0.98639455782312924,0.013605442176870748,0,0.9625850340136054,0.76666666666666672,0.84482758620689657, Deep Learning
5,4,0.98299319727891155,0.017006802721088437,0,0.95918367346938771,0.76666666666666672,0.7854671280276817, Deep Learning
5,5,0.98299319727891155,0.013605442176870748,0.0034013605442176869,0.95904436860068254,0.70967741935483875,0.77508650519031141, Deep Learning
5,6,0.98293515358361772,0.017064846416382253,0,0.96245733788395904,0.80645161290322576,0.78472222222222221, Deep Learning
5,7,0.98293515358361772,0.017064846416382253,0,0.95221843003412965,0.70967741935483875,0.75694444444444442, Deep Learning
5,8,0.98976109215017061,0.010238907849829351,0,0.96587030716723554,0.77419354838709675,0.81379310344827582, Deep Learning
5,9,0.98634812286689422,0.013651877133105802,0,0.96245733788395904,0.77419354838709675,0.76124567474048443, Deep Learning
5,10,0.97952218430034133,0.020477815699658702,0,0.96245733788395904,0.83870967741935487,0.80836236933797911, Deep Learning
5,11,0.97959183673469385,0.017006802721088437,0.0034013605442176869,0.96587030716723554,0.80645161290322576,0.8125, Deep Learning
5,12,0.98299319727891155,0.013605442176870748,0.0034013605442176869,0.96245733788395904,0.74193548387096775,0.79238754325259519, Deep Learning
5,13,0.97959183673469385,0.017006802721088437,0.0034013605442176869,0.96245733788395904,0.77419354838709675,0.80902777777777779, Deep Learning
5,14,0.97619047619047616,0.020408163265306121,0.0034013605442176869,0.97269624573378843,0.90322580645161288,0.87804878048780488, Deep Learning
5,15,0.98293515358361772,0.017064846416382253,0,0.96587030716723554,0.83870967741935487,0.85069444444444442, Deep Learning
5,16,0.97952218430034133,0.020477815699658702,0,0.96587030716723554,0.87096774193548387,0.81184668989547037, Deep Learning
5,17,0.98293515358361772,0.017064846416382253,0,0.94880546075085326,0.67741935483870963,0.77777777777777779, Deep Learning
5,18,0.97959183673469385,0.017006802721088437,0.0034013605442176869,0.96245733788395904,0.77419354838709675,0.79861111111111116, Deep Learning
5,19,0.97619047619047616,0.020408163265306121,0.0034013605442176869,0.95904436860068254,0.77419354838709675,0.83275261324041816, Deep Learning
20,0,0.98726114649681529,0.006369426751592357,0.006369426751592357,0.97115384615384615,0.25,0.73870967741935489, Deep Learning
20,1,0.99044585987261147,0.0031847133757961785,0.006369426751592357,0.97115384615384615,0.16666666666666666,0.7138263665594855, Deep Learning
20,2,0.98417721518987344,0.0031645569620253164,0.012658227848101266,0.98076923076923073,0.25,0.77813504823151125, Deep Learning
20,3,0.98422712933753942,0.0063091482649842269,0.0094637223974763408,0.97770700636942676,0.20000000000000001,0.74679487179487181, Deep Learning
20,4,1,0,0,0.97770700636942676,0.29999999999999999,0.80573248407643316, Deep Learning
20,5,0.99682539682539684,0,0.0031746031746031746,0.97770700636942676,0.20000000000000001,0.7579617834394905, Deep Learning
20,6,0.99681528662420382,0.0031847133757961785,0,0.9713375796178344,0.20000000000000001,0.7539936102236422, Deep Learning
20,7,0.98417721518987344,0.0094936708860759497,0.0063291139240506328,0.9713375796178344,0.20000000000000001,0.79099678456591638, Deep Learning
20,8,0.98734177215189878,0.0063291139240506328,0.0063291139240506328,0.97452229299363058,0.20000000000000001,0.77564102564102566, Deep Learning
20,9,0.98422712933753942,0.0063091482649842269,0.0094637223974763408,0.97770700636942676,0.20000000000000001,0.80769230769230771, Deep Learning
20,10,0.98734177215189878,0.0063291139240506328,0.0063291139240506328,0.97452229299363058,0.20000000000000001,0.80128205128205132, Deep Learning
20,11,0.98422712933753942,0.0063091482649842269,0.0094637223974763408,0.97770700636942676,0.20000000000000001,0.77564102564102566, Deep Learning
20,12,0.99053627760252361,0,0.0094637223974763408,0.98407643312101911,0.20000000000000001,0.83121019108280259, Deep Learning
20,13,0.990506329113924,0.0031645569620253164,0.0063291139240506328,0.97770700636942676,0.20000000000000001,0.83706070287539935, Deep Learning
20,14,1,0,0,0.97770700636942676,0.29999999999999999,0.8152866242038217, Deep Learning
20,15,1,0,0,0.97452229299363058,0.20000000000000001,0.76114649681528668, Deep Learning
20,16,0.990506329113924,0.0031645569620253164,0.0063291139240506328,0.97770700636942676,0.20000000000000001,0.78594249201277955, Deep Learning
20,17,0.99365079365079367,0.0031746031746031746,0.0031746031746031746,0.97452229299363058,0.20000000000000001,0.82108626198083068, Deep Learning
20,18,1,0,0,0.97770700636942676,0.29999999999999999,0.83757961783439494, Deep Learning
20,19,0.98734177215189878,0.0063291139240506328,0.0063291139240506328,0.97452229299363058,0.20000000000000001,0.76282051282051277, Deep Learning
5,0,0,0,0,0.602,0.533,0.0, Conventional
20,0,0,0,0,0.769,0.667, 0.613, Conventional

