,MIN,Set,Image
0,30.35625648498535,val,1
1,30.41988754272461,val,2
2,30.370452880859375,val,21
3,30.363121032714844,val,25
4,30.3565731048584,val,37
5,30.416893005371094,val,38
6,30.32672691345215,val,45
7,30.393186569213867,val,50
8,30.602663040161133,val,59
9,30.451839447021484,val,67
10,30.470245361328125,val,72
11,30.408288955688477,val,77
12,30.452701568603516,val,93
13,30.667057037353516,val,105
14,31.263835906982422,val,108
15,30.751205444335938,val,114
16,31.252403259277344,val,116
17,30.402565002441406,val,124
18,30.330108642578125,val,133
19,30.357675552368164,val,152
20,30.362552642822266,val,161
21,30.366615295410156,val,176
22,31.21187973022461,val,197
23,30.35725975036621,val,200
24,30.33515167236328,val,204
25,30.7025089263916,val,211
26,30.3602237701416,val,217
27,30.560514450073242,val,225
28,30.365680694580078,val,227
29,30.341670989990234,val,229
30,30.442401885986328,val,231
31,30.414546966552734,val,244
32,30.375452041625977,val,264
33,30.454029083251953,val,270
34,30.38330078125,val,300
35,30.39800453186035,val,307
36,30.275768280029297,val,316
37,30.429973602294922,val,338
38,30.431049346923828,val,352
39,30.330738067626953,val,362
40,30.380046844482422,val,369
41,30.303775787353516,val,370
42,30.444103240966797,val,372
43,30.426237106323242,val,385
44,30.37383270263672,val,388
45,31.22407341003418,val,405
46,30.857097625732422,val,416
47,30.276649475097656,val,434
48,30.395822525024414,val,435
49,30.798404693603516,val,437
50,30.312820434570312,val,441
51,30.492130279541016,val,442
52,30.37169075012207,val,443
53,30.397945404052734,val,450
54,30.74032211303711,val,452
55,30.479190826416016,val,457
56,30.68084716796875,val,480
57,30.94863510131836,val,482
58,30.35695457458496,val,490
59,30.489967346191406,val,491
60,30.241077423095703,val,496
61,30.38995361328125,val,507
62,30.501155853271484,val,508
63,31.22962760925293,val,511
64,30.415128707885742,val,521
65,30.35498046875,val,533
66,30.409564971923828,val,539
67,31.54615020751953,val,545
68,30.667966842651367,val,548
69,30.309539794921875,val,563
70,30.298629760742188,val,570
71,30.355697631835938,val,571
72,30.571578979492188,val,572
73,31.206600189208984,val,573
74,30.33428192138672,val,586
75,30.620193481445312,val,591
76,30.568796157836914,val,599
77,30.456148147583008,val,604
78,30.905900955200195,val,606
79,33.65230178833008,val,608
80,30.342315673828125,val,612
81,30.650381088256836,val,615
82,30.38330078125,val,619
83,30.31636619567871,val,628
84,30.443946838378906,val,635
85,30.416015625,val,639
86,30.381492614746094,val,645
87,30.771808624267578,val,652
88,30.42352867126465,val,660
89,30.35150718688965,val,665
90,30.498226165771484,val,667
91,30.325984954833984,val,680
92,30.38422203063965,val,682
93,30.25130844116211,val,691
94,30.62879180908203,val,692
95,30.446266174316406,val,703
96,31.037151336669922,val,708
97,30.443078994750977,val,735
98,30.382965087890625,val,742
99,30.853710174560547,val,747
100,30.38658905029297,val,749
101,30.385761260986328,val,752
102,30.311302185058594,val,753
103,30.451099395751953,val,754
104,30.911455154418945,val,764
105,30.815444946289062,val,769
106,30.385189056396484,val,773
107,30.49296760559082,val,799
108,30.40249252319336,val,800
109,30.486862182617188,val,808
110,30.40279197692871,val,815
111,30.313098907470703,val,843
112,30.383272171020508,val,848
113,30.528121948242188,val,850
114,32.8055534362793,val,857
115,30.516817092895508,val,859
116,30.37220001220703,val,866
117,30.312219619750977,val,870
118,30.318105697631836,val,882
119,30.39995765686035,val,889
120,30.347490310668945,val,892
121,30.29784393310547,val,894
122,30.467044830322266,val,895
123,31.134275436401367,val,901
124,30.662975311279297,val,911
125,30.301944732666016,val,925
126,30.452953338623047,val,926
127,30.272199630737305,val,930
128,30.346935272216797,val,933
129,30.441951751708984,val,957
130,30.812061309814453,val,972
131,30.380748748779297,val,975
132,30.412837982177734,val,977
133,30.411693572998047,val,982
134,30.24399185180664,val,984
135,30.79296875,val,987
136,30.775075912475586,val,994
137,30.648109436035156,val,999
138,30.446121215820312,val,1008
139,30.30698013305664,val,1009
140,30.428237915039062,val,1024
141,30.620773315429688,val,1027
142,31.30177116394043,val,1028
143,30.59363555908203,val,1034
144,30.35887908935547,val,1036
145,30.343284606933594,val,1043
146,30.544139862060547,val,1045
147,30.448760986328125,val,1048
148,30.349536895751953,val,1061
149,30.578407287597656,val,1062
150,30.40749168395996,val,1070
151,30.347652435302734,val,1080
152,30.39154815673828,val,1084
153,30.366065979003906,val,1085
154,30.440486907958984,val,1098
155,30.305946350097656,val,1101
156,31.385906219482422,val,1126
157,30.36841583251953,val,1132
158,30.228960037231445,val,1134
159,30.377010345458984,val,1153
160,30.31475830078125,val,1157
161,30.37523078918457,val,1158
162,30.289426803588867,val,1159
163,31.30891227722168,val,1162
164,30.401569366455078,val,1176
165,30.98373794555664,val,1178
166,30.276363372802734,val,1183
167,30.452980041503906,val,1184
168,30.34743881225586,val,1190
169,30.4440975189209,val,1194
170,30.36400604248047,val,1199
171,30.60350799560547,val,1202
172,30.213550567626953,val,1213
173,30.409244537353516,val,1224
174,30.423425674438477,val,1230
175,30.460657119750977,val,1234
176,30.345977783203125,val,1242
177,30.78923988342285,val,1248
178,30.32169532775879,val,1271
179,30.468204498291016,val,1275
180,30.37421989440918,val,1283
181,30.39200782775879,val,1298
182,30.32010841369629,val,1304
183,30.71204948425293,val,1314
184,30.81599235534668,val,1315
185,30.487274169921875,val,1322
186,30.308486938476562,val,1323
187,30.454486846923828,val,1329
188,30.374046325683594,val,1347
189,30.590869903564453,val,1348
190,30.41832733154297,val,1354
191,30.3409423828125,val,1382
192,30.45214080810547,val,1396
193,30.23710823059082,val,1402
194,30.450868606567383,val,1412
195,30.45443344116211,val,1414
196,30.465171813964844,val,1419
197,30.553260803222656,val,1420
198,30.38298797607422,val,1422
199,30.40808868408203,val,1426
200,30.431312561035156,val,1441
201,31.781023025512695,val,1445
202,30.37249755859375,val,1446
203,30.324260711669922,val,1449
204,30.45203399658203,val,1450
205,30.33075714111328,val,1466
206,30.454023361206055,val,1468
207,32.188167572021484,val,1490
208,30.316268920898438,val,1493
209,30.440433502197266,val,1498
210,30.313602447509766,val,1501
211,30.39513397216797,val,1512
212,31.42644500732422,val,1528
213,31.449844360351562,val,1535
214,30.533660888671875,val,1537
215,30.45610809326172,val,1542
216,30.445539474487305,val,1545
217,30.302574157714844,val,1546
218,30.329322814941406,val,1550
219,32.847190856933594,val,1554
220,30.403844833374023,val,1556
221,30.4536075592041,val,1558
222,30.760459899902344,val,1560
223,30.366851806640625,val,1562
224,30.482067108154297,val,1574
225,30.409347534179688,val,1585
226,30.376874923706055,val,1587
227,30.613170623779297,val,1599
228,31.576465606689453,val,1600
229,30.374324798583984,val,1612
230,30.3867130279541,val,1621
231,30.51893424987793,val,1622
232,30.364227294921875,val,1626
233,30.394805908203125,val,1633
234,30.628334045410156,val,1637
235,31.332752227783203,val,1640
236,30.420127868652344,val,1647
237,30.308914184570312,val,1648
238,30.404512405395508,val,1651
239,31.618999481201172,val,1652
240,30.370018005371094,val,1661
241,30.34035873413086,val,1665
242,30.454200744628906,val,1670
243,30.68025016784668,val,1694
244,30.40190887451172,val,1697
245,30.449291229248047,val,1699
246,30.812992095947266,val,1715
247,30.456483840942383,val,1722
248,30.776878356933594,val,1730
249,30.446502685546875,val,1738
250,30.337095260620117,val,1743
251,30.379554748535156,val,1748
252,30.451427459716797,val,1749
253,30.4907283782959,val,1757
254,30.410964965820312,val,1758
255,30.761505126953125,val,1762
256,30.30245590209961,val,1764
257,30.6236572265625,val,1776
258,31.040340423583984,val,1777
259,30.338462829589844,val,1778
260,31.59893035888672,val,1790
261,31.105371475219727,val,1793
262,30.4096736907959,val,1803
263,30.519699096679688,val,1806
264,30.466297149658203,val,1811
265,30.405376434326172,val,1819
266,30.263824462890625,val,1824
267,30.751771926879883,val,1826
268,30.553646087646484,val,1837
269,30.347259521484375,val,1839
270,32.34231948852539,val,1845
271,31.73983383178711,val,1847
272,30.357816696166992,val,1855
273,30.30965805053711,val,1857
274,31.25440216064453,val,1862
275,30.360851287841797,val,1864
276,30.410770416259766,val,1871
277,30.526004791259766,val,1881
278,30.542964935302734,val,1888
279,30.450868606567383,val,1894
280,30.341140747070312,val,1903
281,30.348567962646484,val,1919
282,30.33449935913086,val,1920
283,30.520864486694336,val,1921
284,30.673843383789062,val,1939
285,30.88678550720215,val,1947
286,30.281770706176758,val,1954
287,30.9897403717041,val,1956
288,30.406944274902344,val,1960
289,30.357101440429688,val,1963
290,30.426544189453125,val,1969
291,30.287200927734375,val,1973
292,30.44292449951172,val,1985
293,30.432327270507812,val,1986
294,30.332773208618164,val,1989
295,30.316905975341797,val,1991
296,30.364028930664062,val,1997
297,30.385719299316406,val,1999
298,30.335954666137695,val,2002
299,30.25183868408203,val,2010
300,30.368799209594727,val,2012
301,31.611148834228516,val,2017
302,30.81534194946289,val,2018
303,30.333677291870117,val,2019
304,30.472244262695312,val,2021
305,30.239723205566406,val,2039
306,30.44989013671875,val,2052
307,30.415847778320312,val,2060
308,30.623897552490234,val,2061
309,30.373538970947266,val,2080
310,30.335735321044922,val,2088
311,30.942859649658203,val,2089
312,30.30707359313965,val,2094
