,Accuracy,Image,Set,Experiment
0,1.0,1,val,4
1,1.0,6,val,4
2,1.0,9,val,4
3,1.0,13,val,4
4,1.0,15,val,4
5,1.0,22,val,4
6,1.0,24,val,4
7,1.0,26,val,4
8,1.0,28,val,4
9,1.0,31,val,4
10,1.0,33,val,4
11,1.0,39,val,4
12,1.0,44,val,4
13,1.0,64,val,4
14,1.0,66,val,4
15,1.0,77,val,4
16,1.0,83,val,4
17,1.0,90,val,4
18,1.0,91,val,4
19,0.84,92,val,4
20,1.0,94,val,4
21,1.0,97,val,4
22,1.0,98,val,4
23,1.0,108,val,4
24,1.0,125,val,4
25,1.0,130,val,4
26,1.0,134,val,4
27,1.0,140,val,4
28,1.0,142,val,4
29,1.0,146,val,4
30,1.0,149,val,4
31,1.0,153,val,4
32,1.0,160,val,4
33,1.0,165,val,4
34,1.0,166,val,4
35,1.0,170,val,4
36,1.0,180,val,4
37,1.0,188,val,4
38,1.0,189,val,4
39,1.0,197,val,4
40,1.0,206,val,4
41,1.0,215,val,4
42,1.0,216,val,4
43,1.0,225,val,4
44,1.0,232,val,4
45,1.0,235,val,4
46,1.0,238,val,4
47,1.0,243,val,4
48,1.0,251,val,4
49,1.0,260,val,4
50,1.0,264,val,4
51,1.0,272,val,4
52,1.0,276,val,4
53,1.0,277,val,4
54,1.0,280,val,4
55,1.0,288,val,4
56,1.0,291,val,4
57,1.0,294,val,4
58,1.0,296,val,4
59,1.0,306,val,4
60,1.0,313,val,4
61,1.0,317,val,4
62,1.0,323,val,4
63,1.0,328,val,4
64,1.0,336,val,4
65,1.0,337,val,4
66,1.0,339,val,4
67,1.0,341,val,4
68,1.0,355,val,4
69,1.0,358,val,4
70,1.0,360,val,4
71,1.0,375,val,4
72,1.0,379,val,4
73,1.0,394,val,4
74,1.0,396,val,4
75,1.0,411,val,4
76,1.0,422,val,4
77,1.0,430,val,4
78,1.0,433,val,4
79,1.0,437,val,4
80,1.0,439,val,4
81,1.0,458,val,4
82,0.92,460,val,4
83,1.0,461,val,4
84,1.0,466,val,4
85,1.0,467,val,4
86,0.92,476,val,4
87,1.0,495,val,4
88,1.0,505,val,4
89,1.0,519,val,4
90,1.0,539,val,4
91,1.0,552,val,4
92,1.0,555,val,4
93,1.0,556,val,4
94,1.0,562,val,4
95,1.0,576,val,4
96,1.0,582,val,4
97,0.92,590,val,4
98,1.0,596,val,4
99,1.0,603,val,4
100,1.0,611,val,4
101,1.0,614,val,4
102,1.0,634,val,4
103,1.0,635,val,4
104,1.0,645,val,4
105,1.0,664,val,4
106,1.0,669,val,4
107,1.0,675,val,4
108,1.0,680,val,4
109,1.0,689,val,4
110,1.0,705,val,4
111,0.84,714,val,4
112,1.0,718,val,4
113,1.0,722,val,4
114,1.0,735,val,4
115,1.0,738,val,4
116,1.0,742,val,4
117,1.0,747,val,4
118,1.0,751,val,4
119,1.0,753,val,4
120,1.0,766,val,4
121,1.0,774,val,4
122,1.0,775,val,4
123,1.0,777,val,4
124,1.0,782,val,4
125,1.0,784,val,4
126,1.0,795,val,4
127,1.0,798,val,4
128,1.0,799,val,4
129,1.0,801,val,4
130,1.0,802,val,4
131,1.0,811,val,4
132,1.0,812,val,4
133,1.0,821,val,4
134,1.0,828,val,4
135,1.0,833,val,4
136,0.92,836,val,4
137,1.0,837,val,4
138,0.92,843,val,4
139,1.0,852,val,4
140,1.0,854,val,4
141,1.0,856,val,4
142,1.0,866,val,4
143,1.0,870,val,4
144,1.0,874,val,4
145,1.0,875,val,4
146,1.0,893,val,4
147,1.0,907,val,4
148,1.0,924,val,4
149,1.0,933,val,4
150,1.0,935,val,4
151,1.0,938,val,4
152,1.0,939,val,4
153,1.0,940,val,4
154,1.0,941,val,4
155,1.0,947,val,4
156,1.0,951,val,4
157,1.0,960,val,4
158,1.0,967,val,4
159,0.92,972,val,4
160,1.0,976,val,4
161,1.0,1017,val,4
162,1.0,1029,val,4
163,1.0,1045,val,4
164,1.0,1046,val,4
165,0.8,1054,val,4
166,1.0,1073,val,4
167,1.0,1078,val,4
168,1.0,1091,val,4
169,0.92,1093,val,4
170,1.0,1098,val,4
171,1.0,1099,val,4
172,1.0,1102,val,4
173,1.0,1104,val,4
174,1.0,1109,val,4
175,1.0,1117,val,4
176,1.0,1129,val,4
177,1.0,1135,val,4
178,1.0,1136,val,4
179,1.0,1146,val,4
180,1.0,1163,val,4
181,1.0,1165,val,4
182,1.0,1177,val,4
183,1.0,1185,val,4
184,1.0,1200,val,4
185,1.0,1206,val,4
186,0.92,1208,val,4
187,1.0,1210,val,4
188,1.0,1222,val,4
189,1.0,1225,val,4
190,1.0,1228,val,4
191,1.0,1232,val,4
192,1.0,1241,val,4
193,1.0,1249,val,4
194,1.0,1250,val,4
195,1.0,1266,val,4
196,1.0,1275,val,4
197,1.0,1289,val,4
