,MAED,Set,Image
0,1.709912896156311,val,12
1,1.7963776588439941,val,15
2,1.617682695388794,val,22
3,1.8698110580444336,val,38
4,1.8891311883926392,val,40
5,1.7923970222473145,val,41
6,1.5620838403701782,val,50
7,1.3235467672348022,val,61
8,1.6778185367584229,val,67
9,1.823313593864441,val,76
10,1.7036879062652588,val,78
11,2.090251922607422,val,82
12,1.520756721496582,val,89
13,1.4077340364456177,val,91
14,1.4724293947219849,val,93
15,1.3089423179626465,val,95
16,1.7316395044326782,val,97
17,1.4725130796432495,val,103
18,1.710631012916565,val,107
19,1.497620701789856,val,112
20,1.8015650510787964,val,133
21,1.408913016319275,val,137
22,1.1164422035217285,val,168
23,3.9430959224700928,val,181
24,2.7324740886688232,val,185
25,2.5541770458221436,val,186
26,2.6994879245758057,val,188
27,2.9653046131134033,val,189
28,2.962514877319336,val,194
29,3.3394715785980225,val,197
30,3.684248447418213,val,198
31,1.7126754522323608,val,207
32,1.396813988685608,val,225
33,1.3677375316619873,val,229
34,1.6260647773742676,val,233
35,1.721541404724121,val,235
36,2.1837027072906494,test,9
37,2.402966260910034,test,14
38,2.3304121494293213,test,17
39,1.5563381910324097,test,37
40,1.5766100883483887,test,42
41,1.557395100593567,test,51
42,1.8030872344970703,test,54
43,1.6690021753311157,test,55
44,1.6450564861297607,test,57
45,1.9985978603363037,test,60
46,1.6061859130859375,test,65
47,1.9857226610183716,test,68
48,1.353996992111206,test,69
49,1.4333313703536987,test,71
50,1.429209589958191,test,74
51,1.432038426399231,test,88
52,1.4498921632766724,test,96
53,1.6981191635131836,test,113
54,2.016258478164673,test,119
55,1.882232904434204,test,120
56,1.5418660640716553,test,129
57,1.339248776435852,test,130
58,1.5467067956924438,test,145
59,1.8332263231277466,test,156
60,2.9251723289489746,test,159
61,1.3765097856521606,test,163
62,1.778246521949768,test,174
63,1.4110950231552124,test,177
64,3.836071252822876,test,180
65,3.3833320140838623,test,193
66,2.014833927154541,test,206
67,1.827452540397644,test,208
68,1.5013123750686646,test,211
69,1.5591366291046143,test,218
70,1.353896141052246,test,228
71,1.6963143348693848,test,237
