,x,y,Set,Image,Point,Type
0,76,324,val,12,2,warped
1,92,325,val,12,3,warped
2,107,326,val,12,4,warped
3,122,327,val,12,5,warped
4,139,328,val,12,6,warped
5,157,329,val,12,7,warped
6,175,330,val,12,8,warped
7,189,328,val,12,9,warped
8,227,329,val,12,11,warped
9,243,329,val,12,12,warped
10,261,330,val,12,13,warped
11,280,328,val,12,14,warped
12,296,327,val,12,15,warped
13,313,332,val,12,16,warped
14,332,330,val,12,17,warped
15,60,305,val,12,19,warped
16,91,302,val,12,21,warped
17,107,310,val,12,22,warped
18,124,308,val,12,23,warped
19,140,309,val,12,24,warped
20,158,310,val,12,25,warped
21,175,309,val,12,26,warped
22,194,312,val,12,27,warped
23,213,313,val,12,28,warped
24,229,312,val,12,29,warped
25,243,310,val,12,30,warped
26,260,313,val,12,31,warped
27,280,311,val,12,32,warped
28,314,312,val,12,34,warped
29,333,312,val,12,35,warped
30,45,289,val,12,36,warped
31,61,287,val,12,37,warped
32,78,288,val,12,38,warped
33,92,288,val,12,39,warped
34,108,288,val,12,40,warped
35,124,289,val,12,41,warped
36,141,290,val,12,42,warped
37,158,294,val,12,43,warped
38,176,293,val,12,44,warped
39,194,294,val,12,45,warped
40,212,297,val,12,46,warped
41,228,295,val,12,47,warped
42,245,294,val,12,48,warped
43,261,293,val,12,49,warped
44,279,293,val,12,50,warped
45,297,295,val,12,51,warped
46,314,295,val,12,52,warped
47,45,271,val,12,54,warped
48,61,270,val,12,55,warped
49,77,270,val,12,56,warped
50,92,270,val,12,57,warped
51,107,271,val,12,58,warped
52,125,273,val,12,59,warped
53,142,272,val,12,60,warped
54,159,276,val,12,61,warped
55,177,277,val,12,62,warped
56,194,280,val,12,63,warped
57,212,280,val,12,64,warped
58,228,279,val,12,65,warped
59,244,279,val,12,66,warped
60,261,277,val,12,67,warped
61,280,276,val,12,68,warped
62,298,277,val,12,69,warped
63,316,277,val,12,70,warped
64,334,280,val,12,71,warped
65,46,256,val,12,72,warped
66,62,254,val,12,73,warped
67,77,255,val,12,74,warped
68,93,257,val,12,75,warped
69,110,256,val,12,76,warped
70,125,257,val,12,77,warped
71,142,257,val,12,78,warped
72,159,260,val,12,79,warped
73,176,261,val,12,80,warped
74,192,264,val,12,81,warped
75,209,264,val,12,82,warped
76,228,262,val,12,83,warped
77,244,264,val,12,84,warped
78,261,263,val,12,85,warped
79,279,260,val,12,86,warped
80,298,261,val,12,87,warped
81,316,261,val,12,88,warped
82,333,261,val,12,89,warped
83,46,240,val,12,90,warped
84,62,240,val,12,91,warped
85,77,239,val,12,92,warped
86,95,240,val,12,93,warped
87,110,240,val,12,94,warped
88,126,240,val,12,95,warped
89,141,240,val,12,96,warped
90,158,243,val,12,97,warped
91,175,246,val,12,98,warped
92,191,247,val,12,99,warped
93,227,247,val,12,101,warped
94,245,247,val,12,102,warped
95,262,248,val,12,103,warped
96,280,247,val,12,104,warped
97,298,247,val,12,105,warped
98,315,247,val,12,106,warped
99,334,248,val,12,107,warped
100,45,223,val,12,108,warped
101,62,221,val,12,109,warped
102,79,221,val,12,110,warped
103,94,222,val,12,111,warped
104,110,223,val,12,112,warped
105,126,222,val,12,113,warped
106,141,224,val,12,114,warped
107,156,227,val,12,115,warped
108,174,230,val,12,116,warped
109,190,231,val,12,117,warped
110,226,232,val,12,119,warped
111,243,231,val,12,120,warped
112,261,231,val,12,121,warped
113,280,230,val,12,122,warped
114,297,230,val,12,123,warped
115,316,231,val,12,124,warped
116,333,232,val,12,125,warped
117,45,205,val,12,126,warped
118,62,205,val,12,127,warped
119,78,204,val,12,128,warped
120,95,204,val,12,129,warped
121,110,206,val,12,130,warped
122,126,207,val,12,131,warped
123,142,210,val,12,132,warped
124,157,213,val,12,133,warped
125,173,213,val,12,134,warped
126,190,213,val,12,135,warped
127,226,214,val,12,137,warped
128,243,215,val,12,138,warped
129,262,216,val,12,139,warped
130,279,215,val,12,140,warped
131,297,215,val,12,141,warped
132,316,216,val,12,142,warped
133,334,217,val,12,143,warped
134,45,189,val,12,144,warped
135,62,188,val,12,145,warped
136,78,188,val,12,146,warped
137,95,189,val,12,147,warped
138,110,192,val,12,148,warped
139,126,193,val,12,149,warped
140,143,196,val,12,150,warped
141,157,197,val,12,151,warped
142,174,198,val,12,152,warped
143,191,195,val,12,153,warped
144,225,199,val,12,155,warped
145,242,199,val,12,156,warped
146,263,200,val,12,157,warped
147,280,199,val,12,158,warped
148,299,199,val,12,159,warped
149,316,201,val,12,160,warped
150,333,202,val,12,161,warped
151,45,174,val,12,162,warped
152,62,174,val,12,163,warped
153,80,176,val,12,164,warped
154,96,177,val,12,165,warped
155,111,179,val,12,166,warped
156,127,180,val,12,167,warped
157,143,182,val,12,168,warped
158,158,184,val,12,169,warped
159,175,184,val,12,170,warped
160,190,180,val,12,171,warped
161,225,184,val,12,173,warped
162,243,186,val,12,174,warped
163,261,186,val,12,175,warped
164,281,185,val,12,176,warped
165,299,185,val,12,177,warped
166,316,186,val,12,178,warped
167,333,186,val,12,179,warped
168,44,160,val,12,180,warped
169,62,161,val,12,181,warped
170,79,162,val,12,182,warped
171,96,163,val,12,183,warped
172,111,164,val,12,184,warped
173,127,166,val,12,185,warped
174,143,168,val,12,186,warped
175,159,169,val,12,187,warped
176,175,164,val,12,188,warped
177,191,166,val,12,189,warped
178,225,169,val,12,191,warped
179,243,169,val,12,192,warped
180,262,170,val,12,193,warped
181,282,171,val,12,194,warped
182,299,171,val,12,195,warped
183,316,171,val,12,196,warped
184,334,171,val,12,197,warped
185,46,145,val,12,198,warped
186,62,146,val,12,199,warped
187,79,147,val,12,200,warped
188,95,148,val,12,201,warped
189,112,150,val,12,202,warped
190,127,151,val,12,203,warped
191,144,152,val,12,204,warped
192,159,153,val,12,205,warped
193,175,149,val,12,206,warped
194,192,152,val,12,207,warped
195,225,153,val,12,209,warped
196,242,153,val,12,210,warped
197,262,155,val,12,211,warped
198,283,157,val,12,212,warped
199,300,157,val,12,213,warped
200,317,157,val,12,214,warped
201,333,159,val,12,215,warped
202,45,128,val,12,216,warped
203,62,131,val,12,217,warped
204,79,130,val,12,218,warped
205,94,131,val,12,219,warped
206,111,132,val,12,220,warped
207,127,134,val,12,221,warped
208,143,136,val,12,222,warped
209,160,137,val,12,223,warped
210,175,134,val,12,224,warped
211,191,138,val,12,225,warped
212,226,140,val,12,227,warped
213,243,138,val,12,228,warped
214,263,139,val,12,229,warped
215,283,140,val,12,230,warped
216,300,141,val,12,231,warped
217,316,143,val,12,232,warped
218,333,145,val,12,233,warped
219,46,113,val,12,234,warped
220,63,115,val,12,235,warped
221,78,114,val,12,236,warped
222,93,115,val,12,237,warped
223,111,116,val,12,238,warped
224,127,117,val,12,239,warped
225,145,120,val,12,240,warped
226,161,121,val,12,241,warped
227,176,119,val,12,242,warped
228,192,119,val,12,243,warped
229,226,124,val,12,245,warped
230,244,124,val,12,246,warped
231,263,124,val,12,247,warped
232,282,124,val,12,248,warped
233,299,126,val,12,249,warped
234,316,127,val,12,250,warped
235,333,129,val,12,251,warped
236,44,94,val,12,252,warped
237,62,96,val,12,253,warped
238,77,96,val,12,254,warped
239,94,97,val,12,255,warped
240,111,100,val,12,256,warped
241,127,100,val,12,257,warped
242,144,102,val,12,258,warped
243,161,103,val,12,259,warped
244,177,103,val,12,260,warped
245,192,102,val,12,261,warped
246,225,110,val,12,263,warped
247,244,107,val,12,264,warped
248,263,108,val,12,265,warped
249,282,108,val,12,266,warped
250,300,110,val,12,267,warped
251,316,111,val,12,268,warped
252,333,113,val,12,269,warped
253,44,75,val,12,270,warped
254,58,76,val,12,271,warped
255,77,79,val,12,272,warped
256,94,79,val,12,273,warped
257,111,81,val,12,274,warped
258,128,83,val,12,275,warped
259,145,84,val,12,276,warped
260,160,85,val,12,277,warped
261,176,86,val,12,278,warped
262,192,87,val,12,279,warped
263,210,92,val,12,280,warped
264,227,93,val,12,281,warped
265,244,91,val,12,282,warped
266,263,91,val,12,283,warped
267,282,92,val,12,284,warped
268,299,94,val,12,285,warped
269,315,94,val,12,286,warped
270,333,95,val,12,287,warped
271,43,58,val,12,288,warped
272,61,61,val,12,289,warped
273,77,61,val,12,290,warped
274,93,62,val,12,291,warped
275,111,63,val,12,292,warped
276,127,65,val,12,293,warped
277,142,65,val,12,294,warped
278,158,67,val,12,295,warped
279,175,70,val,12,296,warped
280,191,69,val,12,297,warped
281,211,74,val,12,298,warped
282,228,75,val,12,299,warped
283,245,75,val,12,300,warped
284,263,75,val,12,301,warped
285,281,76,val,12,302,warped
286,299,77,val,12,303,warped
287,317,74,val,12,304,warped
288,334,76,val,12,305,warped
289,44,39,val,12,306,warped
290,61,41,val,12,307,warped
291,77,42,val,12,308,warped
292,94,45,val,12,309,warped
293,111,48,val,12,310,warped
294,126,47,val,12,311,warped
295,141,49,val,12,312,warped
296,157,50,val,12,313,warped
297,175,52,val,12,314,warped
298,230,57,val,12,317,warped
299,247,58,val,12,318,warped
300,265,59,val,12,319,warped
301,283,58,val,12,320,warped
302,300,57,val,12,321,warped
303,316,57,val,12,322,warped
304,333,57,val,12,323,warped
305,77,323,val,15,2,warped
306,92,324,val,15,3,warped
307,106,326,val,15,4,warped
308,121,326,val,15,5,warped
309,137,327,val,15,6,warped
310,157,330,val,15,7,warped
311,175,330,val,15,8,warped
312,192,329,val,15,9,warped
313,228,331,val,15,11,warped
314,244,329,val,15,12,warped
315,262,329,val,15,13,warped
316,281,330,val,15,14,warped
317,297,328,val,15,15,warped
318,314,329,val,15,16,warped
319,332,333,val,15,17,warped
320,61,307,val,15,19,warped
321,91,301,val,15,21,warped
322,106,309,val,15,22,warped
323,123,307,val,15,23,warped
324,137,311,val,15,24,warped
325,156,311,val,15,25,warped
326,176,311,val,15,26,warped
327,195,314,val,15,27,warped
328,213,313,val,15,28,warped
329,229,311,val,15,29,warped
330,244,312,val,15,30,warped
331,261,312,val,15,31,warped
332,281,315,val,15,32,warped
333,314,313,val,15,34,warped
334,333,313,val,15,35,warped
335,45,291,val,15,36,warped
336,61,289,val,15,37,warped
337,76,288,val,15,38,warped
338,92,287,val,15,39,warped
339,108,289,val,15,40,warped
340,123,289,val,15,41,warped
341,141,291,val,15,42,warped
342,158,293,val,15,43,warped
343,177,296,val,15,44,warped
344,195,295,val,15,45,warped
345,212,297,val,15,46,warped
346,227,294,val,15,47,warped
347,245,296,val,15,48,warped
348,262,296,val,15,49,warped
349,279,297,val,15,50,warped
350,296,297,val,15,51,warped
351,314,297,val,15,52,warped
352,45,273,val,15,54,warped
353,61,271,val,15,55,warped
354,78,271,val,15,56,warped
355,93,271,val,15,57,warped
356,108,272,val,15,58,warped
357,124,273,val,15,59,warped
358,141,273,val,15,60,warped
359,159,276,val,15,61,warped
360,178,278,val,15,62,warped
361,195,280,val,15,63,warped
362,210,277,val,15,64,warped
363,227,278,val,15,65,warped
364,243,279,val,15,66,warped
365,261,279,val,15,67,warped
